# Trayectoria 2R - Referencias angulares
# Generado: 2025-11-01 23:38:14
# theta1: ángulo eslabón 1 desde horizontal [rad]
# theta2: ángulo relativo eslabón 2 [rad]
time_s,theta1_rad,theta2_rad
2.950000,-0.178151,2.306789
2.966667,-0.182591,2.303744
2.983333,-0.187030,2.300719
3.000000,-0.191486,2.297730
3.016667,-0.195981,2.294800
3.033333,-0.200543,2.291960
3.050000,-0.205203,2.289244
3.066667,-0.209999,2.286699
3.083333,-0.214973,2.284385
3.100000,-0.220166,2.282373
3.116667,-0.225620,2.280750
3.133333,-0.231357,2.279606
3.150000,-0.237374,2.279023
3.166667,-0.243635,2.279050
3.183333,-0.250074,2.279682
3.200000,-0.256620,2.280870
3.216667,-0.263214,2.282530
3.233333,-0.269815,2.284570
3.250000,-0.276404,2.286907
3.266667,-0.282971,2.289468
3.283333,-0.289518,2.292196
3.300000,-0.296048,2.295045
3.316667,-0.302568,2.297980
3.333333,-0.309085,2.300973
3.350000,-0.315604,2.304001
3.366667,-0.322131,2.307046
3.383333,-0.328672,2.310093
3.400000,-0.335230,2.313129
3.416667,-0.341810,2.316145
3.433333,-0.348415,2.319130
3.450000,-0.355046,2.322077
3.466667,-0.361707,2.324979
3.483333,-0.368398,2.327830
3.500000,-0.375121,2.330624
3.516667,-0.381876,2.333356
3.533333,-0.388664,2.336021
3.550000,-0.395485,2.338614
3.566667,-0.402339,2.341132
3.583333,-0.409225,2.343570
3.600000,-0.416141,2.345924
3.616667,-0.423088,2.348191
3.633333,-0.430064,2.350366
3.650000,-0.437067,2.352446
3.666667,-0.444094,2.354428
3.683333,-0.451144,2.356307
3.700000,-0.458214,2.358081
3.716667,-0.465301,2.359746
3.733333,-0.472403,2.361298
3.750000,-0.479515,2.362734
3.766667,-0.486634,2.364051
3.783333,-0.493756,2.365244
3.800000,-0.500877,2.366311
3.816667,-0.507991,2.367247
3.833333,-0.515095,2.368050
3.850000,-0.522182,2.368716
3.866667,-0.529246,2.369239
3.883333,-0.536282,2.369619
3.900000,-0.543282,2.369850
3.916667,-0.550241,2.369929
3.933333,-0.557150,2.369852
3.950000,-0.564002,2.369615
3.966667,-0.570789,2.369214
3.983333,-0.577501,2.368647
4.000000,-0.584129,2.367908
4.016667,-0.590665,2.366995
4.033333,-0.597096,2.365903
4.050000,-0.603414,2.364629
4.066667,-0.609606,2.363170
4.083333,-0.615661,2.361521
4.100000,-0.621567,2.359681
4.116667,-0.627311,2.357645
4.133333,-0.632879,2.355411
